SNO,Protocol Name,Protocol Number,Indication(s),Phases,Design Philosophy
85,Elbow/Forearm (without Metal),4.6,"Evaluation of fracture healing, fracture fixation, characterization of fractures, arthritis, osteochondral lesions, mineralized bone and soft tissue lesions, evaluate the progress of osseous healing or adequacy of fracture fixation. Evaluate the bone surrounding metallic implants. CT is also useful in identifying ossified joint bodies that could cause a mechanical block to flexion or extension",Without and/or With (90 sec Delay),"This primary indication is to evaluate for fracture, dislocation, or osteochondritis. The elbow is the most difficult joint to scan as it is usually difficult to optimally position the elbow, particularly when it is in a cast"
86,Elbow/Forearm (with Metal),4.7,"Evaluation of fracture healing, fracture fixation, characterization of fractures, arthritis, osteochondral lesions, mineralized bone and soft tissue lesions, evaluate the progress of osseous healing or adequacy of fracture fixation. Evaluate the bone surrounding metallic implants. CT is also useful in identifying ossified joint bodies that could cause a mechanical block to flexion or extension",Without and/or With (90 sec Delay),"This primary indication is to evaluate for fracture, dislocation, or osteochondritis. The elbow is the most difficult joint to scan as it is usually difficult to optimally position the elbow, particularly when it is in a cast"
87,Wrist (without Metal),4.8,"Detection and characterization of fractures, evaluation of fracture healing or adequacy of fracture fixation. Also, for the evaluation of arthritis, bone and soft tissue lesions, and to evaluate the bone surrounding metallic implants.",Without and/or With (90 sec Delay),"This scan is used to evaluate for wrist fracture, and similar to the elbow, it is important to position the arm over the head, with the arm as straight as possible."
88,Wrist (with Metal),4.9,"Detection and characterization of fractures, evaluation of fracture healing or adequacy of fracture fixation. Also, for the evaluation of arthritis, bone and soft tissue lesions, and to evaluate the bone surrounding metallic implants.",Without and/or With (90 sec Delay),"This scan is used to evaluate for wrist fracture, and similar to the elbow, it is important to position the arm over the head, with the arm as straight as possible."
89,Chest Wall/Clavicle/AC Joint/SC Joint/Sternum/Ribs,4.13/4.14/4.15,"Detection or characterization of fractures, evaluation of fracture healing or adequacy of fracture fixation. Also, for the evaluation of arthritis, bone and soft tissue lesions, and to evaluate osteoarthritis. For infection, contrast will likely be needed.",Without and/or With (90 sec Delay),
90,GSI Gout Spine/Shoulder,7.16/7.17/7.18,"Patients with Gout, GSI/Dual Energy CT of the Cervical, Without Thoracic or Lumbar Spine to evaluate for the presence of uric acid deposits (tophus). This protocol can also be used to evaluate for Gout in the shoulder (do not use GSI Gout Upper Extremity as it does not offer enough dose to penetrate the torso",Without,
91,Bony Pelvis/Hips/SI/Femur/FAI (without Metal),8.1/8.2/8.3,"For evaluation of the pelvic ring and acetabuli, typically in the setting of acute trauma, the rotation angle of the femoral necks relative to the femoral condyles, bilaterally. Orthopedic surgeons may request post-operative scans to assess for fracture healing, hardware loosening or other complications.",Without and/or With (90 sec Delay),
92,Bony Pelvis/Hips/SI/Femur/FAI (with Metal),8.4/8.5/8.6,This protocol is also used for Femoroacetabular Impingement (FAI). CT arthrogram of the hip joint is to evaluate the labrum and cartilage in a patient who cannot have MR.,,
93,Hip Preservation CT,8.13,"Pre-operative scan for hip FAI and dysplasia surgery. This protocol also evaluates femoral and tibial torsion, or 'whole leg biomechanics'.",Without,
94,Mako Hip,8.14,Pre Robot Surgery Scan for Mako Hip Procedure.,Without,
95,Ankle/Foot/Distal Tibia (without Metal),9.1,"Evaluation of treated fractures, fracture fixation, assess progress of osseous healing, arthritis, mineralized lesions, osteochondral lesions of the joints, and to evaluate the bone surrounding metallic implants. This protocol is also indicated in patients with surgical ankle or hindfoot fusion (arthrodesis) to assess the extent of osseous union.",Without and/or With (90 sec Delay),"There is one single scanning protocol for all ankles and feet, which is typically used to evaluate for trauma."
96,Ankle/Foot/Distal Tibia (with Metal),9.2,"If TARSAL COALITION is indicated, please scan both ankles/feet together for comparison.",,
97,Knee/Tibia (without Metal),9.3,"Assess the alignment and degree of displacement of fracture fragments, particularly at the articular surfaces. Also for the evaluation of arthritis, mineralized lesions, and to evaluate the bone surrounding metallic implants. CT arthrogram of the knee joint is to evaluate the labrum and cartilage in a patient who cannot have MR.","Without, or if ordered with contrast use a 90 sec delay","The primary indication for a knee CT is to assess the alignment and degree of displacement of fracture fragments, particularly at the articular surfaces. These can also be used to assess the integrity of the bone around prosthesis. On rare occasions, a CT will be done immediately after an arthrogram of the knee."
98,Knee/Tibia (with Metal),9.4,"Assess the alignment and degree of displacement of fracture fragments, particularly at the articular surfaces. Also for the evaluation of arthritis, mineralized lesions, and to evaluate the bone surrounding metallic implants. CT arthrogram of the knee joint is to evaluate the labrum and cartilage in a patient who cannot have MR.","Without, or if ordered with contrast use a 90 sec delay","The primary indication for a knee CT is to assess the alignment and degree of displacement of fracture fragments, particularly at the articular surfaces. These can also be used to assess the integrity of the bone around prosthesis. On rare occasions, a CT will be done immediately after an arthrogram of the knee."
99,BODYCAD Lower Extremity,9.5,Pre-operation scan,Without,
100,GSI Gout Lower Extremity,9.6,"Patients with Gout. GSI/Dual Energy CT of the foot, knee or lower extremity to evaluate for the presence of uric acid deposits (tophus).",Without,
101,Mako Knee,9.7,Pre robot surgery scan for MAKO knee procedure.,Without,"This protocol is a non-contrast CT through bilateral hips, knees, and ankles (excluding the femur, tibia, and fibula shafts) to allow for measurement of the version angles of the femora and, if desired, tibiae."
102,Femoral Anteversion/Lower Extremity Rotational Study,9.8/9.9/9.10,"For evaluation of the rotation angle of the femoral necks relative to the femoral condyles, bilaterally. A secondary measurement is the femoral lengths. This protocol may also be used for tibial torsion imaging requests.",Without,"This protocol is a non-contrast CT through bilateral hips, knees, and ankles (excluding the femur, tibia, and fibula shafts) to allow for measurement of the version angles of the femora and, if desired, tibiae."
103,Soft Tissue Extremity with IV Contrast,9.24/9.25/9.26,"This protocol is designed to look specifically at mass or infection in the soft tissues. IF there is any concern for bony involvement, use the corresponding MSK bone protocol to deliver the appropriate dose for bone imaging. (Examples: Femur, please use bony pelvis or knee protocol, tib/fib please use knee).",90 sec delay,This protocol is used for detection or characterization of mass or infection. Bony detail is not important for these scans which use a dose level similar to an extremity CTA.
